,Learner's transcript,Questions
181,We are also happy that the client is pleased Rose but there is more to being a manager than just pleasing a client delivering quality work and ensuring that your team is delivering these deliverables on Showtime is also the utmost importance this didn't happen with this particular engagement the project had a significant amount of rework and the budget when significantly over plan. Do you understand? This is an area that you need to improve.,['do you understand?']
182,"We're all glad with the client was pleased Rose. However, there's more to being a manager than just pleasing a client one important part of being a manager is ensuring that your team is delivering quality work on time. I felt that in this engagement your team was not delivering quality work or on time. There was a lot of improvement that needs to be made from this team that you're not having double work. Unfortunately the budget for this engagement was significantly over by the time the engagement was over. Do you understand areas where you might need to improve on before becoming a manager off?",['do you understand areas where you might need to improve on before becoming a manager off?']
183,"We are all really happy that the client is pleased with your work Rose, but there is more that too just there's more to being a manager than just pleasing the client delivering quality of work and ensuring that the team doesn't have to do real work is also very important that didn't happen on this project your team. Unfortunately had to do a lot of rework and the budget was significantly over when it came to the this engagement. Do you understand that these are two areas of improvement for a future reviews?",['do you understand that these are two areas of improvement for a future reviews?']
184,"Rose obviously, we're happy. It's good to know that the clients happy but there's more to that than being a good manager as the senior. It is your responsibility to make sure that we deliver quality work on time. And this did not happen on this engagement it led to massive amounts of rework and going significantly over budget wage. Do you see where you maybe have some opportunities to improve?",['do you see where you maybe have some opportunities to improve?']
185,"Rose we're certainly happy to hear that. The client is happy but there was significant amounts of error that happened that led to massive amounts of rework being needed even as a senior you're responsible for delivering quality wage, and it's certainly something that we expect from managers here at ey do you think maybe you might see where the disconnect is now? And find ways that you might improve.","[""the client is happy but there was significant amounts of error that happened that led to massive amounts of rework being needed even as a senior you're responsible for delivering quality wage, and it's certainly something that we expect from managers here at ey do you think maybe you might see where the disconnect is now?""]"
186,"Well, well client satisfaction is important you actually missed quite a few errors in the reports that led to some significant rework wage. What do you think you could have done better? Do you think maybe you might see where the disconnect is quality work is not negotiable. We have to live up to a standard of quality of life deliverables. Ultimately. The client is not going to be satisfied with errors that lead to the project going over budget.",['what do you think you could have done better?']
187,"Rose listen, I need you to understand what the disconnect is right? I'm looking at the records here and looks like we missed out on at least 30 of those technical reviews with significantly impacted our project but tried it impacted our profitability and revenue as well so I can share some of those details with you but I strongly recommend that you work on developing your skills around that technical review, even though it's your first time doing it was a learning curve. I agree, but you are eventually responsible and accountable for some of those things. I really need you to work on some of those things before we can talk about your promotion and I'm here to help you with that.","['rose listen, i need you to understand what the disconnect is right?']"
188,"Rose you are responsible for your team's performance and you are responsible for doing the type of quality work that is necessary on a project you did receive feedback that you missed key mistakes and that the project suffered because of it you did receive that factual feedback. Now, do you understand that feedback can do you understand? What you need to do to improve quality work is not negotiable Rose.","['now, do you understand that feedback can do you understand?']"
189,Rose you are responsible for performing the work that needs to be done at the level. It needs to be done. It is your responsibility to make sure that mistakes are caught and off your team is performing at the level. It should now you did get feedback from the client and from the team that you made mistakes and the project was thus over budget. So you did get that feedback. Do you understand? You know what you did that didn't meet expectations. And do you understand why that performance was not satisfactory quality work is not negotiable Rose. You need to perform your best every time.,['do you understand?']
190,Rose quality work is not negotiable. I mean it's a requirement for the project and you did not perform up to expectations. Do you understand? What you need to do is I think going forward we can talk about next steps. We can talk about how to improve but it's up to you to do what you need to do to be promoted to manager.,['do you understand?']
191,Rose you're responsible for the delivery of quality work in time and quality is not negotiable. You're responsible for your thoughts. You did not. Quality review the work that was delivered. Would you let two additional we work and you did not meet the budget of of the project. Do you understand the disconnects between your perception and the feedback?,['do you understand the disconnects between your perception and the feedback?']
192,Rose remember the quality of the project is your responsibility. You didn't verify the quality of the deliverables. Would you let two significant rework and to overrun of the budget? So do you understand the disconnect between your perception and the negative feedback?,"['would you let two significant rework and to overrun of the budget?', 'so do you understand the disconnect between your perception and the negative feedback?']"
193,"Rose quality work is non-negotiable. We it is an important factor of what we do but so is everything else that we do as well. We must meet deadlines and then other client expectations, but we also have to meet our own expectations internally as well. What do you think can be done in the future to prevent this issue from reoccurring?",['what do you think can be done in the future to prevent this issue from reoccurring?']
194,Rose well client satisfaction is very important. We have to look at all aspects of project engagement and team engagement throughout the engagement itself. What do you think you didn't do and what do you think we can do in the future to prevent this from happening again?,"[""what do you think you didn't do and what do you think we can do in the future to prevent this from happening again?""]"
195,Thanks for sharing your perspective Rose. I'm all for client satisfaction. But it takes more than this to being a good manager. Even at senior you're responsible for delivering high-quality work plot products and on long time this didn't happen. We need to talk about what areas you can improve upon in this area so that you can get to a manager. Do you understand where you need to improve?,['do you understand where you need to improve?']
196,"I am all for a client satisfaction, but there's more than that to being a good manager even being a senior you need to focus on delivering quality deliverables and making sure that the team working on this and we were significantly behind schedule and over budget there were definitely some areas. You need to improve in this area. Do you understand where you need to improve?",['do you understand where you need to improve?']
197,"Thanks for this for your perspective. I agree that the client was happy with your performance. However, I want to understand your thoughts on the technical aspect. There were some issues with the deliverable and we were significantly over budget. There's more to being a good manager than just client satisfaction. Do you understand where the disconnect is?",['do you understand where the disconnect is?']
198,"Girls you're right client satisfaction is important, but I'm also concerned that the deadline was missed and that there were quality issues. We cannot afford to have a nice holiday issues on an engagement like this and that's part of your role in expectations. We need to make sure that there's this disconnect is addressed before we could consider a promotion to the manager level. It is your responsibility to make sure that all aspects of the engagement are top-notch that we are meeting the deadlines agreed to with the client and that the quality is as it's to be expected as well and that's part of your responsibility. You do understand that there is a disconnect here, right?","['you do understand that there is a disconnect here, right?']"
199,"You're right Rose client satisfaction is really important. But isn't it accurate that there were still deadlines missed and quality errors, even though we got to a good place in the end? That is an issue if we're not able to deliver on that as we initially committed to the client. Do you understand the disconnect there long before we can have a conversation about manager? We have to make sure that these issues are really well addressed.","[""but isn't it accurate that there were still deadlines missed and quality errors, even though we got to a good place in the end?"", 'do you understand the disconnect there long before we can have a conversation about manager?']"
200,The client is happy and we are all happy about that. But the quality work is non-negotiable. You did not provide proper feedback to the team and that's why the project was significantly over but she said the responsibility of a senior is to take accountability of the work and accountability of providing good quality deliverables. So and that didn't happen and we know that so do you know what is the right step that you should be taking and where you are lacking that you need to improve on?,"[""so and that didn't happen and we know that so do you know what is the right step that you should be taking and where you are lacking that you need to improve on?""]"
201,"But I'm glad and everybody's glad that the project is happy but the responsibility of a senior and as a manager is that you are supposed to be delivering quality work on time to the client which we all know often happen. There had to be so many reiterations of you worked at the project was significantly over budget. So, do you know what you need to do to improve on this now?","['so, do you know what you need to do to improve on this now?']"
202,"As a senior and as a manager, you're responsible for the quality work and delivering on time to your client. The engagement might be happy but the project was significantly over budget because you had you had to keep going back and you know, retrying Andre delivering your project and read delivering your work re re delivering your deliverables. And that does not sound good. That's not how it should happen. So you have to make sure that you're providing proper feedback to your team and being 100% available. So that doesn't work quality control is not negotiable. It isn't just about making a happy but delivering a product which you can get behind and that didn't happen in here. So, do you know where you need to improve and how you need to do better as a senior so you can work on being a good manager?","['so, do you know where you need to improve and how you need to do better as a senior so you can work on being a good manager?']"
203,"I'm glad that the client was happy but making and making a client happy is important, but there is more to being a good manager as a senior you're in charge and responsible for for delivering quality work on time. This didn't happen. Your mistake cause the team to go over budget. Do you understand where you need to improve?",['do you understand where you need to improve?']
204,Client satisfaction is important you not catching those issues during the technical review caused rework and caused our engagement to go over budget. What do you think we can do not have these encounter these issues in the future?,['what do you think we can do not have these encounter these issues in the future?']
205,"I am glad that the client is very happy with you. But there's more than just client satisfaction to being a good manager. With being a manager comes additional responsibilities. Even as a senior you're responsible for the delivery of your team. The quality of work is non-negotiable, and unfortunately that didn’t happen. I am glad you understand and recognize that there were quality issues with the team and technical reviews did not go very smoothly.

You are well aware that this caused us to go significantly over budget in this program. Do you realize where you need to improve?
",['do you realize where you need to improve?']
206,"I am glad that the client is very happy with you. But there's more than client satisfaction to being a good manager. Even as a senior you're responsible for the delivery of your team. The quality of work is non-negotiable, and unfortunately that didn’t happen. You are well aware that this caused us to go significantly over budget in this program. Do you realize where you need to improve?
",['do you realize where you need to improve?']
207,Well happy to the client is very happy with you. But there's more than client satisfaction to being a good manager as even as a senior you're responsible for the delivery of your team. And the quality that the fact that didn't happen because that be even significantly over budget in this program. Do you realize where you need to improve?,['do you realize where you need to improve?']
208,I'm so glad that the client is happy with you. But you have to remember this more to being a manager than being a client you're responsible for the delivery of your team's response deliverables and they were mistakes. We need to make sure that everybody keeps this in mind that we went significantly over budget in time because of the socket right? Hey.,['we need to make sure that everybody keeps this in mind that we went significantly over budget in time because of the socket right?']
209,"I think it's great that you're recognizing the need for technical reviews and how we can probably do them better. Have you had any thoughts about how to do them better than next time? I mean, I understand that the client satisfaction is important, but we also have to think about the amount of rework we had to go through and the impact that had on the financials not to mention the delays.",['have you had any thoughts about how to do them better than next time?']
210,"Rose I wanted to make sure that client satisfaction is one key element, but we have another element that we need to satisfy to write and key one of the key ones is or teens overall satisfaction and basically our collaboration spirit. So there were some occasions where your work did not meet the expectations that the team had so I see some mismatch between your expectations down and the some some facts right? So I'm here to support you. I want to make sure that you are on the right time being promoted, but I just wanted to wage highlight those gaps just to you know, just to make you aware.",['so there were some occasions where your work did not meet the expectations that the team had so i see some mismatch between your expectations down and the some some facts right?']
211,Rose I understand the client is happy and that is important to ey but the quality was your responsibility and you didn't make sure that I had caught the things that needed to be caught and that caused a lot of rework for our team. So does that make sense as to why there's a little bit of a disconnect here. Can you tell me some ways that you can improve the future?,['can you tell me some ways that you can improve the future?']
212,"Rose thank you for that. I know the client is happy and that is important. However, the responsibility was yours to make sure that the technical details of or taking care of and that the fact that you didn't catch those caused our team to have a lot of rework and it ended up costing a lot more money. So we really need you to focus on that in the future. What can you do to improve?",['what can you do to improve?']
213,Was client satisfaction is always really important to me why there are several times on this project that you did not catch things that the technical team did and we had to do significant. We work as a result while the client is happy. We have spent extra money on this. So we need to really improve your quality would make sure that you don't cause the rework in the future. What do you think about that?,['what do you think about that?']
214,Yes client satisfaction is incredibly important at the same time though. We need to be delivering quality work and you are responsible for the quality of your own work and formed the team to provide a quality deliverable as you think about moving to manage your you first have to provide Stellar experience at the senior level so I can you please tell me a little bit more. How do you think you can improve your quality?,['how do you think you can improve your quality?']
215,"What client satisfaction is incredibly important? It is also important that we perform to their expectations. So not just being satisfied but meeting all of the requirements and and the lack of our team. So with that in mind, can you elaborate a little bit on the learning curve that you feel you you still need to accomplish and how you can improve the technical aspects of your work?","['what client satisfaction is incredibly important?', 'so with that in mind, can you elaborate a little bit on the learning curve that you feel you you still need to accomplish and how you can improve the technical aspects of your work?']"
216,"We're all glad to hear that the client was happy, but there's more than that to being a good manager. Even as a senior you're responsible for guiding the team to make sure that a quality work product is delivered on time and that didn't happen on this engagement and we went significantly over budget. Do you see where you need to improve?",['do you see where you need to improve?']
217,"We're all glad to hear that the client was happy, but there's more than that to being a successful manager even as a senior you're responsible for guiding and leading the team to deliver a quality product on time which didn't happen on this engagement. Therefore. We also went significantly over budget on this engagement. Do you see where you need to improve?",['do you see where you need to improve?']
218,Glad to hear that the client was happy but there's more than that in becoming a good manager even as a senior responsible for guiding and leading the team to deliver a quality work off on time. It didn't happen on this engagement and we went significantly over budget. Do you see where you need to improve?,['do you see where you need to improve?']
219,We're all glad to hear the client was happening. But there's a lot more that goes into being a successful manager. even as a senior responsible for guiding the team to ensure quality work product is delivered on time and that didn't have we went significantly over budget and that needs to be corrected by the manager there for do you see why where the disconnect is?,"[""even as a senior responsible for guiding the team to ensure quality work product is delivered on time and that didn't have we went significantly over budget and that needs to be corrected by the manager there for do you see why where the disconnect is?""]"
220,"We're very happy, you know to hear that. The client was satisfied with the work that there's a lot more that goes into you know, successful engagement and being a manager wage. I think working even as a senior you're responsible for, you know, kind of guiding the team and ensuring that all the work is done in a timely fashion and everything's delivered wage and that just didn't happen on this engagement and resulted it does significantly going over budget. So you see there's a lot more to managing team than just the client's approval. So do you see where you need to improve?",['so do you see where you need to improve?']
221,"Rose were happy things cleanse happy but heard more to them, but when you're a manager even as a senior your role and responsibility life making sure things are done efficiently and effectively and in a timely manner and with the technical issues that were encountered the team ended up spending a lot of time working through Thursday, which had an impact on the budget and we went over the budget actually, it's your responsibility even as a senior to do this with these are definitely areas that you know need to be improved because unfortunately those responsibilities and tasks were inCompleted by you. It was your responsibility. So to get you to the next level. We first need to work on these. Do you understand the areas of improvement?",['do you understand the areas of improvement?']
222,"Rose are still happy you think the client is happy as you mentioned there were some technical difficulties you ran into among each moment and you know, that's not really important to keep quite happy but it's important to keep your engagement team happy and make things make sure things move effectively and efficiently especially in a general manager even as a senior you're kind of in charge of like taking care of this and enjoying this happens. And unfortunately, there's a lot of feedback every work required which led to a lot of extra hours and it had an impact on the budget. Do you understand the areas that need to be improved or worked on moving forward to get you to the the next step to promotion? It's",['do you understand the areas that need to be improved or worked on moving forward to get you to the the next step to promotion?']
223,"Does client satisfaction is definitely important? However, it is not the most important thing. So to say for example, as you mentioned, there are some technical aspects you weren't too familiar with and there was a learning curve which is fine. However, because of this you should have sought help from maybe a supervisor to get you up to speed so you could then Coach your peers because how things ended up working out was that there was not enough feedback or Direction given birth to a lot of rework and a lot of over cause a big dent in the budget. So it had an impact on the client as well.",['does client satisfaction is definitely important?']
224,"Yes Rose, the client satisfaction is certainly an important component of our work. But you're the role is a senior even is to be checking work and making things are done in a timely fashion and done correctly and you fell short of that in many areas of this project off. Do you have any questions about that?",['do you have any questions about that?']
225,"Rose it was your responsibility to do a review of the deliverable quality of work is not something that is negotiable, especially at a manager level. Do you understand where you have an improvement opportunity?",['do you understand where you have an improvement opportunity?']
226,"Yes Rose client satisfaction is really important but what's also important is teamwork and being able to support your team? And this is one thing that you know, as a manager you have to think about is being able to support and review others work so that collectively you bring your best fruit. We bring the best of e y forward. How do you think that you know, you can improve your review and technical skills moving forward?","[""yes rose client satisfaction is really important but what's also important is teamwork and being able to support your team?"", 'how do you think that you know, you can improve your review and technical skills moving forward?']"
227,"Quality work is not negotiable. It is not enough that only the client is Happy due to your errors. The team had to spend a lot of time making sure to correct them and working through new areas of the project. You need to own your progress here and make sure that these things are not occurring in the future. Do you understand what this entails now?
",['do you understand what this entails now?']
228,"It's interesting to hear your thoughts. However, I don't believe that the clients happiness is the only thing that matters in this situation. There were various different times where you cause the team a lot of rework and time spent due to the errors in your work off. This is something that you would want make need to make sure to improve going forward. What do you think that this is the impact of your work?",['what do you think that this is the impact of your work?']
229,It is more than the client though. You're a senior who is responsible for delivering this work and there were things that you didn't catch wage. It came in significantly over budget. What was your responsibility? We can't worry about quality because quality is not negotiable. What issues didn't you catch? It's important that you understand this as a senior before you consider moving to manager.,"['what was your responsibility?', ""what issues didn't you catch?""]"
230,"It's very important for you to understand your responsibilities. Not just to the client but to the team the budget the deliverables quality is really important and we cannot sacrifice quality for anything. What didn't you catch what had to be reworked? It's important that these things are called the first time so that we don't go over budget. It's also important that you learn now to set your future. If you don't set your future for Success, there's going to be problems that you can't fix at the manager level two.","[""what didn't you catch what had to be reworked?""]"
231,"Okay, so the client is important. However, so is your teamwork you have to understand your responsibility. There was a certain expectation that was sat and it did not get mad and that meant that we had to rework it. We were over budget and there were serious concerns with the client. You have to catch things right choice the first time we cannot be over budget and quality is not negotiable. You have to get it right and you have to get it right fast. Do you understand your responsibilities off?",['do you understand your responsibilities off?']
232,"But this team is your responsibility quality is non-negotiable. What didn't you do to ensure quality on this project? What issues did you not catch because we work was done we came in over budget and you know, if you had the learnings that you needed the first time it would set you up for this project now and in the future, it's really important that you take responsibility for what went wrong and fix it in the moment.","[""what didn't you do to ensure quality on this project?""]"
233,The quality is not negotiable. You have to understand your responsibilities and all this but by you not having the work right the first time it cause rework and issues and it went over budget. What didn't you do? It's important to understand how you can remedy this issue the future.,"[""what didn't you do?""]"
234,"Yes, the client satisfaction is important but so is Quality quality is not negotiable. We can't waste our time messing up issue is going back. We working at coming over budget, you know, what is your responsibility and all this? What didn't you do? What could you change, you know learning and set you off the future? Do you understand how you could fix this so that it wouldn't be a concern going forward.","['we working at coming over budget, you know, what is your responsibility and all this?', ""what didn't you do?"", 'what could you change, you know learning and set you off the future?']"
235,Roseville client satisfaction is important. We have to look at the overall project and your role specific to finding the errors of others walk by you not doing that. It caused the project to go considerably over budget. Do you understand the circumstances now a little bit better that it's not just the client satisfaction?,"[""do you understand the circumstances now a little bit better that it's not just the client satisfaction?""]"
236,"hi Rose, where our glad to hear that the client is happy but there is a there as a manager. There is a more than that even as a senior you have the responsibility to deliver high-quality work work on time. But this but you didn't the project went significantly over the budget. Do you see where you need to improve now?",['do you see where you need to improve now?']
237,"Hey bros, where our happy to hear about that decline is happy but there is more than that. There is more than client satisfaction off even as a senior you have the responsibility to to deliver high-quality work timely. But right now our budget is is magnificant over the budget. Can you see where you can get improved now?",['can you see where you can get improved now?']
238,"Hey Rose, we're all happy to hear about that. The client is happy. But as a manager one of your main role is to improve the quality of our work wage. And it also the hours have incurred for this engagement is a significant over the budget. Can you see where is zero problem?",['can you see where is zero problem?']
239,"Course Rose, we're happy to hear that the client was happy with the deliverables. However, that's there's more to being a manager and as a senior you are responsible for reviewing work in preventing issues including budget overruns, which did not happen. Do you understand where you need to improve?",['do you understand where you need to improve?']
240,"Of course, the client being happy is important and we're happy to hear that. The client was satisfied. However, as a senior you are responsible for reviewing the technical areas in a timely in preventing any issues and budget overruns from occurring. Do you understand what I'm saying here?","[""do you understand what i'm saying here?""]"
241,"Hi Rose. Yes client satisfaction is important but there are some things that we cannot ignore. Do you understand the importance of the quality of the work you missed reviewing some of the work products and this could be a problem for you. I and for all the boundaries. As well are you aware? There is a disconnect if the deliveries are not in match with the expectations. We cannot make a move. If you're not checking the boxes of what the delivery should be for your own responsibilities. So in the end of the day, you should own your responsibilities and the performance of the project.",['as well are you aware?']
242,"Hi Rose. Yes client satisfaction is important but there are some things that we cannot ignore are you off? Do you understand the importance of the quality of the work you missed reviewing some of the work products and this could be a problem for you. I and for all the boundaries. As well are you aware? There is a disconnect if the deliveries are not in match with the expectations. We cannot make a move. If you're not checking the boxes of what the delivery should be for your own responsibilities. So in the end of the day, you should own your responsibilities and the performance of the project.","['yes client satisfaction is important but there are some things that we cannot ignore are you off?', 'as well are you aware?']"
243,"Hi Rose, client satisfaction is important but we cannot ignore some of the issues that were faced the fact that some off and deliverables and we're not up to the quality standards. And the fact that the technical side was not up to date cannot be ignored wage. So in the end of the day you need to be responsible for all the criterias that guide good delivery. Not only the client satisfaction, but as well the quality of the work and the knowledge required you aware of this disconnect. And are you aware? There is an expectation that all the reviews should go smoothly and that the technical knowledge should be on by yourself.",['and are you aware?']
244,"Hi Rose, client satisfaction is important but we cannot ignore some of the issues that were faced the fact that some off and deliverables and we're not up to the quality standards. And the fact that the technical side was not up to date cannot be ignored wage. So in the end of the day you need to be responsible for all the criterias that guide good delivery. Not only the climber It's Fashion, but as well the quality of the work and the knowledge required you aware of this disconnect. And are you aware? There is an expectation that all the reviews should go smoothly and that the technical knowledge should be on by yourself.",['and are you aware?']
245,"Hi Rose, it is good to have the client happy but I would highly recommend you check the expectations for each rank at you. I am because in the end of the day, there are more factors that play a role for for Readiness to a different level as a manager or not. So you said I would suggest did you check what the criteria is for each pillar and how does your performance relate to those criterias?",['so you said i would suggest did you check what the criteria is for each pillar and how does your performance relate to those criterias?']
246,"Yes Rose, but remember the responsibility is yours. The fact is you did not catch the technical issues which led to the work being late. We must deliver our work on time. Do you understand what I'm saying?","[""do you understand what i'm saying?""]"
247,"Yes Rose, but you must remember the responsibility is yours. The fact is you do not catch the technical issues which led to the project being over budget. We must do things the correct way. Do you understand what I'm saying?","[""do you understand what i'm saying?""]"
248,"Client satisfaction is important rules. However, staying on budget and staying in and doing things the right e y way also important. Do you understand what I mean?",['do you understand what i mean?']
249,"Rose were all happy to hear that the client was pleased with the outcome, but there is more than that to being a good manager as a senior you're in charge of making sure that quality works it delivered on time and budget this didn't happen and the project was significantly over budget. Do you know what you need to do to improve?",['do you know what you need to do to improve?']
250,Crows were all happy that the client was pleased with the outcome. But as a as a senior you're in charge of making sure that quality products are dead on time and budget and we both know that that was an area of significant concern. Do you know what you need to do to significantly improve?,['do you know what you need to do to significantly improve?']
251,"What do you think while client satisfaction is incredibly important? The technical component is just as important, if not more so your lack of technical subject matter knowledge in this particular area, cause significant rework and significant amount of time for the team to conduct really work as well as cost cost us money off due to all of that. So I think that you need to take that into consideration and be realistic about your expectations. What do you think?","['what do you think while client satisfaction is incredibly important?', 'what do you think?']"
252,Rose while client satisfaction is an important part of what we do. It's important to remember that we're we're delivering a quality product. That's part of The Importance of Being a manager is to allow that as to focus on that review element of the work that's performed not to perform the work itself while it was the first time that you were doing this work. You should think at the manager level. You should be thinking through. How do I build in the time to prep for that?,['how do i build in the time to prep for that?']
253,You are right that the client is always should be always happy. But as a senior you are responsible for an entire appointment and seeing it through to fruition and the type of work that needs to be delivered has to be quality work from start to finish the project was over budget and there were some key issues that were neglected as part of the project. So there's a little disconnect the air between how you envision the project when versus what was actually delivered. Do you understand that? Can you see or figure out where you could have improved better?,"['do you understand that?', 'can you see or figure out where you could have improved better?']"
254,"Absolutely roles have making the client happy is very important. But based on the information from the engagement as a senior and as more as a manager, you have to be able to take responsibility and take the lead on some of these engagements but participate ticular engagement that you worked on. I think it was the Mark was missed a little bit where it was over budget and you missed the mark on certain key items in the project. Now, do you think that we do you think where we could have done better on this particular project?","['now, do you think that we do you think where we could have done better on this particular project?']"
255,"Yes Rose client satisfaction is absolutely important. But as it relates to your life or being promoted to manager, do you think that your performance on this particular engagement Warrensburg emotion to manager? Did you assess your KP eyes against your goals and and against the manager rank. Do you think that you've hit every kpi and that you're ready office manager role. What else do you think you should be able to work on?","['but as it relates to your life or being promoted to manager, do you think that your performance on this particular engagement warrensburg emotion to manager?', 'what else do you think you should be able to work on?']"
256,Rose I'm glad to hear that the client is happy but there is more to performing an audit than that in addition to that. It's important to make sure that your quality is is their faith even as a senior you're responsible for helping the team deliver a quality product in a timely manner that is not negotiable. This did not happen in this particular project resulting in us going significantly over budget. Do you understand where you can improve?,['do you understand where you can improve?']
257,"Rose we are all happy to hear the decline was happy, but there is more to that to being a manager and even as a senior you're responsible and helping the team make sure that they are delivering a quality product and timely manner that did not happen here resulting in us going significantly over budget. Do you understand where we can improve?",['do you understand where we can improve?']
258,Rose I'm glad to hear the client is happy but there's more to that to being a good manager even as a senior quality is important you need you are responsible for helping them deliver a quality product in a timely manner that did not happen here. We went significantly over budget and and ultimately our engagement economic loss suffered. So that's something that we're definitely going to have to continue to improve on do you understand?,"[""so that's something that we're definitely going to have to continue to improve on do you understand?""]"
259,Rose I'm glad to hear that the client is happy but there's more to that to be a good manager even as a senior you're responsible for helping the engagement deliver a quality product in a timely manner which did not happen here resulting in an insignificant overruns. We were significantly over budget. Do you understand where we could move?,['do you understand where we could move?']
260,Rose I'm glad to hear the client is happy but there's more to that than to being a manager even as a senior you're you're responsible for delivering a high-quality audit of time that didn't happen here and we went significantly over budget. Do you understand where you can improve?,['do you understand where you can improve?']
261,Rose glad to hear the client is happy but there's more to that to being a manager you even as a senior you're responsible for delivering a high-quality audits need a timely manner that didn't happen here and we actually went significantly over budget. Do you understand where you can improve?,['do you understand where you can improve?']
262,Rose I'm glad to hear that the client is happy that is definitely a huge positive. However quality is still top-of-mind when we are performing an audit even as a senior you're in charge of delivering a high-quality audit in a timely manner in this particular situation. We went way over budget which resulted in negative engagement economics. Do you understand where you can improve?,['do you understand where you can improve?']
263,Rose I'm glad the client is happy that it's definitely a positive but even as a senior you're in charge of the quality and making sure that we're delivering our audit in a timely manner in this particular situation. The hours incurred went way over budget and it resulted in an additional costs to the engagement. Do you understand where you can improve?,['do you understand where you can improve?']
264,"Heroes, yes, we understand that clients help you but there is another major but as a manager that you even as a senior officer have to deliver and team deliver the completed work on time which didn't happen and quality of work was poor dog was significantly over budget. So it's your responsibility to take this part and leave the team and focus on budget and dying and the quality of work. So do you understand what you need to improve?",['so do you understand what you need to improve?']
265,"Yeah, I understand that client is happy but there is more important part as a manager lets you even when you're a senior you have to manage team to deliver completed with work on time which teeth happened and it was significantly over budget.And you have to pay attention on this. Do you understand what you need to improve?",['do you understand what you need to improve?']
266,"Client satisfaction is important, but that's not the only Factor here. It is your responsibility to make sure that the team is delivering high-quality work and high-quality work was not delivered on this engagement which caused the team to go significantly over budget. Do you understand ways that you can improve for next time to prevent that from happening?",['do you understand ways that you can improve for next time to prevent that from happening?']
267,Client satisfaction is important but quality work is not negotiable. And we need to make sure that all the work that we're delivering is up to Quality and because of some bad quality issues that were missed this time around the team went significantly over budget. Do you understand some of the areas that you could improve on for next time to prevent it from happening?,['do you understand some of the areas that you could improve on for next time to prevent it from happening?']
268,Client satisfaction is definitely an important aspect but making sure that you have a strong technical Foundation is equally important and I know that there were some issues not capturing certain technical aspects on this engagement. What are some of the things that you think you could do better next time to avoid this type of issue?,['what are some of the things that you think you could do better next time to avoid this type of issue?']
269,"Yes Rose. I'm happy that the client is happy but even as a senior you are responsible for delivering unique quality deliverables in on time, but it wasn't the case for this engagement. You went over budget the project went over budget by a significant. Do you understand where you have to improve?",['do you understand where you have to improve?']
270,"Did you say yes, there were there were some things that you missed on the engagement that required some rework and then that made the engagement to go over budget. Is there can you what what could you have done differently you think to have prevented this?",['is there can you what what could you have done differently you think to have prevented this?']
271,"Completely agree with your rose that there is a learning curve but the technology point of view like the delivery got impacted and if we keep on repeating the same work and if we can keep on developing the same item, then it caused the the project budget, right? So this is so every time we work right we clocked the number of hours in the project, right so that increase the whole project allocated to each and every resource, right and secondly like when you see yourself as a manager, right so you need to take ownership out all the your team is right. So we will like to see like your performing exceptionally well as well as your team also performing so exceptionally better prices all the all about the team work and Faith efforts right when we talk about the manager managerial role, right?","['completely agree with your rose that there is a learning curve but the technology point of view like the delivery got impacted and if we keep on repeating the same work and if we can keep on developing the same item, then it caused the the project budget, right?', 'so we will like to see like your performing exceptionally well as well as your team also performing so exceptionally better prices all the all about the team work and faith efforts right when we talk about the manager managerial role, right?']"
