questionType,asin,answerTime,unixTime,question,answer,answerType
yes/no,B000RJXUDS,24 days ago,,Does the otoscope have fiber optic light?,No. Do not buy this product it broke for both me and several other students.,N
yes/no,B000RJXUDS,"Apr 5, 2015",1428217200.0,"I need to have an air pneumatic buld attachment, does this have this?","John..unfortunately I sent this item back. The switch to turn the light bulb on was plastic and very flimsy. From the picture I thought the grips were stainless steel-twist to-turn-on...similar to the portable ones we use in the ER) however, they were plastic grips and didn't have the weight that felt sturdy -if that makes sense. I can't say for sure about the bulb attatchment...",?
yes/no,B000RJXUDS,"Jan 4, 2015",1420358400.0,does the otoscope allow for use with a pneumatic bulb?,I have never tried it,?
yes/no,B000RJXUDS,"Feb 22, 2015",1424592000.0,Is this NOT made in China? Sorry to ask but I do prefer buy products not made in China.,I also would like to know this...,?
yes/no,B000RJXUDS,"May 26, 2014",1401087600.0,Does it come with halogen lighting?,"yes, see the company website link http://www.welchallyn.com/en/products/categories/physical-exam/eye-exam/ophthalmoscopes--traditional-direct.html",Y
yes/no,B000RJXUDS,"Feb 2, 2014",1391328000.0,Does this item have an insufflator port?,Yes,Y
yes/no,B000RJXUDS,"Dec 16, 2013",1387180800.0,Is it 3.5V?,Not sure off hand. It takes 2 AA batteries so I think that puts it at roughly 3V,?
open-ended,B000RMSF1C,"Jun 27, 2014",1403852400.0,Is there a divider shelf in the middle or is this cabinet fully open inside,"This cabinet does have one shelf in the middle, allowing for 2 shelf openings.",
open-ended,B000RMSF1C,"Jun 26, 2014",1403766000.0,It there a center divider on shelves or is irv,There is no center divider. I don't know what irv is. This is a good garden storage unit. I bought two.,
yes/no,B000RMSF1C,"Jun 18, 2013",1371538800.0,"Can this 37"" tall cabinet be mounted on the wall?",It is not designed or recommended to be wall mounted.,?
open-ended,B000RMSGXO,"Aug 19, 2013",1376895600.0,Which rubbermaid bucket system does 9c74red fit,It goes with Rubbermaid Commercial Products 35 qt. WaveBrake Yellow Side Press Combo Mop Bucket and Wringer System Model # FG 7580-88 YEL,
yes/no,B000RMSGXO,"Oct 27, 2014",1414393200.0,Can this dirty water bucket be used with the FG748000YEL 26-quart WaveBrake Mop Bucket?,I would look at the bucket and see if it looks like a mold of the dirty water bucket shape. If it looks like that then yes. On the bucket it was made for it slides in perfectly like a kids game of blocks.,Y
yes/no,B000RMSGXO,"Oct 1, 2014",1412146800.0,Does it work with the Cleanco by Harper 8 gallon bucket and wringer?,I don't know but it states its for the Rubbermaid bucket. I wouldn't change it. Amazon is very good on returns though.,?
open-ended,B000RMSGXO,"Jun 21, 2014",1403334000.0,Does this dirty water bucket attach to the clean water bucket in some way? Or does it have its own wheels?,"no, it does not have wheels. It fits exactly into the yellow bucket and locks with a little clip so that it won't float up. The purpose of this bucket is to separate the clean from the dirty water.",
yes/no,B000RMSGXO,"Dec 4, 2013",1386144000.0,does this fit the 26qt,No will not fit.,N
open-ended,B000ROJ8UW,"Jan 21, 2014",1390291200.0,Does this come with the otoscope head or is it just the base and case? Also can disposable speculums be used with this model?,It is a complete otoscope. Disposable tips fit.,
open-ended,B000ROJ8UW,"Mar 19, 2014",1395212400.0,"I am purchasing this for home use, for kids ages 2 months to 18 years. Is there anything else I need to purchase with it? Which specula sizes?",No need to buy any more specula. Highly recommended.,
yes/no,B000ROJ8UW,"Mar 20, 2014",1395298800.0,does it have light bulb with it?,"Yes, it comes ready to use. This is the only brand and model I purchase for our company!",Y
yes/no,B000ROJ8UW,"Mar 30, 2015",1427698800.0,Does this work with NIMH rechargeable AA batteries?,"Yes, this can work with Nimh battery but we do not provide the same with Otoscope. If any further query please dont hesitate to ask me. Thanks",Y
open-ended,B000ROJ8UW,"Jan 19, 2015",1421654400.0,I want to buy disposable speculums. What pediatric (2.75mm) specula fits this otoscope model?,The standard size for the wall models.,
yes/no,B000ROJ8UW,"Nov 29, 2014",1417248000.0,Does a standard insuflator bulb work on this model?,"I bought the otoscope for my girlfriend, who is an RN, so I haven't really looked at it. It seems to have a halogen lamp. Replacement lamps are available from Welch Allyn, from Amazon, and from other vendors.",?
yes/no,B000ROJ8UW,"Nov 30, 2014",1417334400.0,Does it have an opening for insuflator?,No,N
yes/no,B000RP6DMW,"Jan 4, 2015",1420358400.0,Is this an official ADA compliant sink?,Yes it is,Y
open-ended,B000RP6DMW,"Aug 10, 2014",1407654000.0,How deep is the sink?,"the sink is about 6 in deep. Link for spec sheet, including dimensions follows. Good luck. See: www.americanstandard-us.com/assets/documents/amstd/spec/SpecSheet_105.pdf",
open-ended,B000RP6DMW,"Jun 27, 2014",1403852400.0,what is the width and length of this sink?,"20-1/2""w x 18-1/4"" d Link: www.americanstandard-us.com/assets/documents/amstd/spec/SpecSheet_105.pdf",
yes/no,B000RP6DMW,"Mar 12, 2014",1394607600.0,IS THIS ADA?,"Yes, provided it is installed 31""to 34"" above finished floor to the top of the front rim. Check the spec sheets on american standard site.",Y
open-ended,B000RP6DMW,"Jan 23, 2014",1390464000.0,WHAT IS THE WALL HANGER NUMBER?,"the hanger should be a ""S-9 hanger"", according to the description, the hanger is included.",
yes/no,B000RP6DMW,"Nov 7, 2013",1383811200.0,Is this sink ADA compliant?,Yes it's ADA complaint,Y
open-ended,B000RP6DMW,"Sep 10, 2014",1410332400.0,Where do I find legs for commercial porcelain bathroom sink,This is a wall hung unit and you would need to find L brackets or triangular brackets to mount this. If space permits you can use a cabinet to mount this sink on top of.,
yes/no,B000RP82F8,"Feb 9, 2015",1423468800.0,"Does this bit have a 13/16"" step? The description seems to imply that it would but the picture doesn't confirm it.","Yes, it has a 13/16"" step that is labeled on the bit itself and marked on the packaging the bit comes in. The entire bit is stepped in 1/16"" steps.",Y
open-ended,B000RP82F8,"Jul 21, 2014",1405926000.0,"I want to drill a 13/16"" hole in my Weber Jumbo Joe grill cover. Thoughts on this working for that?","Hi Dan. I used it to drill through steel on an old car but it wasn't as thick as a grill top which I am assuming is in steel. If you can get a starter hole going with a drill bit I think this would do the job to expand to 13/16"" but it may not be good for much after that. Tony",
open-ended,B000RP82F8,"Dec 12, 2013",1386835200.0,what is the diameter of the shank on this bit?,"The shank is 3/8"" diameter",
open-ended,B000RP82F8,"Apr 6, 2014",1396767600.0,"Hi there. I have a drill with a 1/4 hex and need to make a 1"" hole in plastic. I was wondering if this would fit the drill ?",I think you need atleast a 3/8 drill for it to work,
yes/no,B000RUKZSA,"May 19, 2014",1400482800.0,In Indiana the winter temperature can get to -20 degrees. Will this be okay on my driveway?,I live in Northern IL. Works great!,?
yes/no,B000RUKZSA,"Aug 24, 2013",1377327600.0,can this be used for pool expansion joint,"Yes, that's exactly how we used it.",Y
open-ended,B000RUKZSA,"Mar 7, 2015",1425715200.0,Does the 29 oz tube fit into a standard caulking gun? I normally use 10 oz and I don't see how a 29 oz tube would fit.. Do I need a 'bigger' one?,"No, you need a bigger caulk gun. All hardware stores carry them standard.",
yes/no,B000RUKZSA,"Mar 10, 2014",1394434800.0,It says this product is paintable but it does not say that anywhere on the tube. Has anyone painted it with long term success?,"I have never seen this product painted. It is a self-leveling caulk for wide joints in concrete primarily. Used around pools and in expansion joints. I always allow it to start to set then cover the surface with fine washed sand (no dust). This gives it a better appearance and extends the life years beyond what it would be without some UV protection. It should be used in a fairly thin application either with foam joint material or sand below it. Typically it is only 1/4 to 1/2"" thick.",?
open-ended,B000S0ZQCE,"Feb 22, 2014",1393056000.0,What color is the trash can?,Taupe: a mix of beige and gray. Goes with any decore,
open-ended,B000S0ZQCE,"Sep 13, 2013",1379055600.0,how tall is it,"15""",
open-ended,B000S0ZQCE,"Aug 10, 2013",1376118000.0,what is the opening dimension width and length?,14-1/2 x 10,
open-ended,B000S0ZQCE,"Jan 9, 2015",1420790400.0,How big of a footprint does this trash can have (i.e. dimensions of the bottom surface)?,It's quite big. Official figures are 15x10 inches for the bottom surface. A normal plastic bag you obtained from a supermarket cannot cover more than three corners easily,
open-ended,B000S0ZQCE,"Nov 26, 2014",1416988800.0,What is the dimensions below the rim? Looking for a cabinet pullout replacement.,9 x 13 inches,
yes/no,B000S0ZQCE,"Sep 21, 2014",1411282800.0,Can a grocery bag be used for this?,"That depends, most grocery bags are small for this.",?
open-ended,B000S0ZQCE,"Nov 3, 2014",1415001600.0,What size Bag do you use for this Can?,"A 13 gallon bag becomes too big for it, but I use it anyway. Its a decent trash can for office room",
open-ended,B000S0ZQCE,"Jan 26, 2014",1390723200.0,Which lids fit on this trash basket?,I don't know if a lid is made for it it does not come with one. Works perfect for a a Bennington Pontoon boat under the lounge seat compartment.,
open-ended,B000S0ZQCE,"Sep 16, 2013",1379314800.0,How bout giving the dimensions?,How bout reading the: Specifications for this item Brand Name Rubbermaid Commercial Part Number FG295600BEIG Number of Items 1 Capacity 7 gallons Color Beige EAN 0086876012538 Height 15 inches Item Weight 1.7 pounds Length 14-3/8 inches UPC 086876012538 Width 10-1/4 inches,
open-ended,B000S0ZQCE,"Oct 1, 2013",1380610800.0,What is the country of manufacture? I am leaning toward Rubbermaid but if it is made in China then I will purchase the Sterilite item instead!,"The bottom of mine has a very tiny circle that says ""Made in USA"".",
open-ended,B000S2QK40,"Sep 10, 2013",1378796400.0,What vehicles do this antenna fit?,It fit my boyfriends 97 transam,
yes/no,B000S2QK40,"Mar 9, 2015",1425884400.0,Will this fit a 1993 Cadillac Sedan De Ville rear mounted.,No this part is for a Camaro/Firbird,N
yes/no,B000S2QK40,"Feb 24, 2014",1393228800.0,Will this antenna mast fit/work on my 97 Caddy Eldorado?,According to our system this item does not show to fit your vehicle application.,N
yes/no,B000S2QK40,"Jul 24, 2013",1374649200.0,Is this replacement antenna black?,the one I got is stainless with a black tip,?
open-ended,B000S83F4C,"Apr 1, 2015",1427871600.0,"what color is the toothbrush? I don't want the black one, but that seems to be the color chosen for me. Thanks",They have a variety of colors. We cannot guarantee what color you would receive.,
open-ended,B000S83F4C,"Oct 13, 2014",1413183600.0,what color is the toothbrush,"They have a variety of colors. If you buy individually it should say which color you'll get, but if you buy in packages of 3, 6, etc. then they randomly select the colors you'll receive. If you want to see the colors available, go to the manufacturer website: http://www.radiustoothbrush.com/",
open-ended,B000S83F4C,"Jul 4, 2014",1404457200.0,What toothbrush case fits this brush? I've read that some of the Radius cases are straight so do not accomodate the angle of this brush.,"I do not have a toothbrush case. I ordered 6 or 8 Radius Scuba toothbrushes the last time, from Amazon . I placed them in a zippered plastic bag , and the one I use daily I leave it in a clean glass. Once in a while, I disinfect the used toothbrush in hydrogen peroxide.",
open-ended,B000S83F4C,"Dec 15, 2013",1387094400.0,what is the difference between the original and scuba toothbrushes?,"Scuba toothbrushes clean all your teeth and molars extremely thoroughly. After brushing , your teeth feel clean and smooth. The original toothbrushes do not reach all the areas in your mouth because they are smaller and thinner.",
open-ended,B000S83F4C,"Apr 6, 2014",1396767600.0,Are you still selling the Radius with the grips on the front and the back or the new and NOT improved Radius without the grips?,I purchased several Radius toothbrushes a few years ago. Those had the ridges. I do not know about current stock. Sorry!,
open-ended,B000SMWIIC,"Apr 2, 2014",1396422000.0,Is this a twist lock and waterproof so I can put on the outside of my trailer?,Yes to both. I mounted mine on a box trailer(I haul a track car) up through the floor rather than through the metal wall. No rain can get to it but road spray has never been an issue and I have hauled through some hard rains around the SE. Just use the foam piece and maybe solid bead of caulk and you should be good.,
yes/no,B000SMWIIC,"Nov 9, 2013",1383984000.0,Will this inlet accept the female (socket) end of the cord below or is there a weather seal that might get in the way? Conntek 20571 Generator Extension Cord 25-Foot 10/3 30 Amp 3 Prong NEMA L5-30 Eextension Cord ASIN: B003HUYK5Q,"All I can tell you is that I have plugged a ""marinco # 199119 "" cordset into it on my boat with no problems. Hope this helps.",Y
open-ended,B000SMWIIC,"Nov 10, 2013",1384070400.0,Will this inlet accept the female end of the cord below or is there a weather seal that might get in the way?,yes I use it with a marinco or hubbell cord it works just fine,
yes/no,B000SO4L4E,"Mar 28, 2014",1395990000.0,"If I attached one of these to the underside of a dSLR camera to connect it to a metal plate, would the magnet damage the electronics in the camera?",These are seriously powerful magnets - strong enough to cause pain if not used carefully. I have not done this and would not try it however I would wager that it would play havoc with at least the removable memory chips and possibly the camera's internal memory as well.,?
open-ended,B000SO4L4E,"Nov 5, 2013",1383638400.0,Will it work to glue opposing magnets to four corners under a table extender and to table legs so I can just attach the legs to the topper?,"Will the table stand, yes. Will it be safe for pole dancers or fine wine displays at auction, no. These suckers are strong but you could easily seperate them with the leverage of a table leg.",
open-ended,B000SO4L4E,"Sep 14, 2013",1379142000.0,What is the gauss rating for these magnets?,You can see the full data at: http://www.rare-earth-magnets.com/p-25-nsn0604.aspx,
open-ended,B000SOJTKK,"Sep 8, 2013",1378623600.0,Where do I get a replacement tip for the EZ Litter Stick,"My answer is only a guess, but have you contacted the mfg ? The only problem with replacements parts for an item so inexpensive, it might be easier just to buy a new one.",
yes/no,B000SOJTKK,"Jun 24, 2014",1403593200.0,Do you think I could use it to stab and pick up maple seeds? Seriously.,"Sue, by maple seeds are you talking about what the kids play with as ""helicopters?"" If so, then yes, the litter stick would stab and pick those up easily. The business end of the litter stick is very sharp and precise, so I think it would pick up maple seeds with no problem at all. Hope this helps you!",Y
open-ended,B000SOJTKK,"Dec 27, 2014",1419667200.0,What is the size of this?,"Stick is 3 ft, spike is 5 in.",
open-ended,B000SOJTKK,"Oct 8, 2014",1412751600.0,"How do I get the plastic cover off? It is lodged on so tightly, I can't even remove it with pliers!","I had to use pliers, but it did come off eventually. Just keep trying, I guess.",
open-ended,B000SOJTKK,"Apr 3, 2014",1396508400.0,What is the product's country of origin?,China,
open-ended,B000SOJTKK,"Mar 8, 2013",1362729600.0,How long is the EZ Litter Stick ?,40 in. The handle is 35 in and the point is 5 in.,
open-ended,B000SQS6L6,"Oct 5, 2014",1412492400.0,How do you install this? I can't get the bracket tight enough while still being able to install the holder on the bracket.,"You unscrew the 'grub screw' on the underside of the silver dome, so the bracket comes apart ~ and screw that separate piece into a stud (or if you are using a drywall plug ) ~ then once the bracket is secure to the wall--place the silver dome back over the bracket and tighten the grub screw. Make sure it is straight!",
open-ended,B000SQS6L6,"Aug 1, 2014",1406876400.0,Could I use a Command strip or something similar to that to mount the holder on the wall instead of the screws?,"As far as I remember, you can only use screws. I use self anchoring screws that can hold up to 50lbs to not worry about wall anchors, not that they are needed for this. Are you trying to use a strip to take it with you if you move? If so, just buy a new one. Even if you screw up the back, no one will know as it hides imperfections.",
yes/no,B000SQS6L6,"Oct 15, 2013",1381820400.0,Can this be mounted with the paper roll opening to the left and right?,"Yes it can and I really like it, works very well, no problem with tiolet paper coming off. Good buy",Y
yes/no,B000SQS6L6,"Jun 16, 2014",1402902000.0,Can you mount this on the side of a wood cabinet?,That is where mine is mounted - so yes,?
open-ended,B000SQS6L6,"Apr 8, 2014",1396940400.0,"Does the rod for the toilet paper move, or is it fixed in place?",The rod will move. It's great for changing the rolls.,
open-ended,B000SQS6L6,"Mar 4, 2015",1425456000.0,Anyone know this will fit a Costco Kirkland roll of toilet paper? Or could provide the diameter of toilet paper roll that would fit freely on it?,"I'm not too sure. It's holds pretty large rolls , this handy device definantley makes it more conveniant to wipe sharts",
yes/no,B000SQS6L6,"Feb 20, 2015",1424419200.0,Can the holder be turned either direction?,Yes,Y
yes/no,B000SQS6L6,"Jan 8, 2015",1420704000.0,is it rust proof,I have had no rust issues with either application in both homes.,?
yes/no,B000SQS6L6,"Mar 1, 2014",1393660800.0,Could this be used for a hand towel?,"Yes, but they sell the rings that are used for them. But if you don't mind a toilet paper holder holding your towels, go for it!",Y
open-ended,B000SQS6L6,"Apr 1, 2015",1427871600.0,"Does the rod hold the Kirkland TP away from the wall, or rolls against the wall? Looking for a holder that clears the wall. Thanks in advance.",TP rests on wall.,
open-ended,B000SSGI0U,"Jun 16, 2014",1402902000.0,warranty,"All I can tell you is that parts started breaking off right away. Plastic pieces for storage of hoses, etc.. When I called the company they were not helpful. Couldn't find anyplace close by to take it. I used it (because it does work well) until some small part came off that made it leak.",
yes/no,B000SSGI0U,"Oct 7, 2013",1381129200.0,Is Rug Doctor a good machine?,"Yes, I've been happy with it and does a good job for us (2 adults and 2 dogs) on our carpets.",Y
yes/no,B000SSGI0U,"Mar 14, 2014",1394780400.0,Is there a way to take apart &amp; clean the large plastic part with the royal logo that fits over the dirty water tank? (That dirty water runs through),"I just work with it in the sink. Run water thru the narrow slots, fill a little water in it and shake it, turn it, what ever it takes. It's just not real convenient. I have used a wire hanger to get my sidekicks hair out. (long haired Corgi).",Y
open-ended,B000SSGI0U,"Jul 8, 2014",1404802800.0,Is this a vacuum and a carpet cleaner that can be useded separatley as on or the other?,"Just carpet cleaner, but it does suck up a lot of dirt, hair, etc. Carpets should be vacuumed well before shampooing or you'll just spend time unclogging the cleaner. I like this unit and works well for me.",
yes/no,B000SSGI0U,"Apr 29, 2014",1398754800.0,"Our Royal uses very little soap, actually hardly any at all. Has anyone else had this probllem?","Same with ours, but the cleaning solution is highly concentrated and soap/water mix in the soap reservoir does go down. It's enough soap to clean our carpets, but not leave a lot of extra soap/residue to attract dirt faster, so I like that. Other carpet cleaners dump soap on the carpet and then attracts dirt and have to clean more often. I clean lightly, then go over several times with soap off to ensure the least amount of soap residue.",?
open-ended,B000SSGI0U,"Oct 7, 2013",1381129200.0,How much is the royal 7940?,299.00,
open-ended,B000SSGI0U,"Mar 30, 2013",1364626800.0,where can I get the hose fitting that goes into the shampoo reservior,http://www.royalappliance.cc/,
yes/no,B000SSECLC,"Feb 26, 2014",1393401600.0,does it work on upholstery?,It claims to but it was no good for that. Great on carpet though.,?
yes/no,B000SSECLC,7 days ago,,do you carry parts,"No. I'm a consumer, same as you.",?
yes/no,B000SSECLC,"Feb 16, 2015",1424073600.0,Can't get the water to dispense,Hi Alicia M What is not said in any shampooer books is you need to flush out the tubes with clean water. The tubes get plugged up with soap. That is what a shampooer shop told me is mostly what they work on. I had the soap not come out of mine. Even after use it I whip off the white tip that the sell person told me to do. Times I had suck on the soap part to get it to work. Then I gave up and add soap to the main water. When I had a water pumps go bad is you get water on the floor and you are stuck. Because it will not suck it up. So it might be plugged tubes. I had nothing but trouble with one. I could not get one floor done. I had two years left on it. I got rid of it. It was the worse shampooer I ever had! Most trouble I had with this one is beaters stop working on me. Or the wheel would melt or bend for the beaters would stop. Best wishes on it and I hope it helped you out. Linda C,?
open-ended,B000SSECLC,"May 3, 2014",1399100400.0,What is the warrenty,mine was for 3 years. sorry did not get back to you sooner,
open-ended,B000SSECLC,"Mar 6, 2014",1394092800.0,how to use it,What do you mean? You put clean water in the big container and in the small container under the big one you put the cleaner stuff and turn it on hope this helps,
open-ended,B000SSECLC,"Nov 6, 2013",1383724800.0,leaking at bottom of machine,"My machine does not leak at all - not when stored with water and soap in the upper tanks, and not when running. If yours is leaking, I would say it needs repair.",
yes/no,B000SSECLC,"Jul 17, 2013",1374044400.0,Is the Royal Extractor model RY7910 made commercial use.,"Idont think that I would buy it for commercial use, altho I have used it many times, and have loaned it out to my son to do their home without any problems. If the carpet is very dirty, you would have to refill the water resivoir, and dump the dirty water to many times to use commercially",?
open-ended,B000SSECLC,"Jul 2, 2013",1372748400.0,How can I take it apart for cleaning?,It should tell you in the instructions. Here's a link to a PDF. It takes a minute to load as it's 44 pages long. http://www.royalvacuums.com/manuals/RY7910.pdf,
open-ended,B000TBOQ3M,"Oct 24, 2013",1382598000.0,how much does it cost to be shipped to India?,Thank you for your e-mail. Here are the shipping rates that would apply. Please let us know if we can assist you further. Thank you. Debra W. Customer Service Marcus Uniforms Asia Standard (10 - 16 business days) Bands Shipment Rate $0.00 to $24.00 $38.75 $24.01 to $50.00 $48.75 $50.01 to $75.00 $51.75 $75.01 to $100.00 $61.75 $100.01 to $140.00 $71.75 $140.01 to $275.00 $101.75 $275.01 to $500.00 $129.75 $500.01 to $800.00 $150.75,
yes/no,B000TBOQ3M,"Oct 20, 2014",1413788400.0,Can you engrave these prior to delivery?,"We do not, however there are a few vendors that would offer that service. I would suggest that you try Googling it.",N
yes/no,B000TBOQ3M,"Jun 10, 2013",1370847600.0,Is the purple true to color?,"Hi Heather, I bought the Caribbean blue and not the purple one. My nephew is very pleased with it",?
yes/no,B000TBOQ3M,"Oct 15, 2014",1413356400.0,"Is this considered a ""light"" weight stethoscope?",Not sure if it would be considered light weight technically. I had one previously but lost it and I got another one off Amazon because it is a great stethoscope and to me it is light weight . Carrying it around on your neck or pocket won't be an issue. Hope this helps!,?
open-ended,B000TBOQ3M,"Jun 10, 2013",1370847600.0,Im looking at the Caribbean Blue color. Has anyone received that one? is the color nice?,"I got that color and love it. I wanted something that would be different enough so as to not be mixed up with my coworkers stethoscopes but not too ""loud"" and it was a great color. I don't regret choosing Caribbean Blue",
open-ended,B000TBOQ3M,22 days ago,,"Can anyone tell me if the purple is actually purple? I ordered the ""Ocean Blue"" one and it's just a Sky Blue so I'm returning it.",I ordered carribean blue and received navy blue. I dont think any color is really what the seller says it is.,
yes/no,B000TBOQ3M,"Apr 7, 2015",1428390000.0,"The diaphragm has a cover on the rim with the Littmann Quality and ""L"", but the bell doesn't. Should the bell have the cover?",Yes the bell of the stethoscope i have bought has a plastic rubber cover,Y
yes/no,B000TBOQ3M,"Dec 29, 2014",1419840000.0,"I am looking into buying my very first stethoscope to use as a respiratory therapist to listen to breath sounds, is this good for a beginner?",Yes. My wife uses it for fetal heart sounds at an OBGYN office. She loves it.,Y
open-ended,B000TBOQ3M,"Dec 23, 2014",1419321600.0,Where are these manufactured? Thanks.,"It says ""Made in the U.S.A."" On it.",
yes/no,B000TBOQ3M,"Dec 6, 2014",1417852800.0,Does this model have both a bell and a diaphram?,Yes it does!,Y
open-ended,B000TMM782,"Apr 10, 2014",1397113200.0,Does this measure dc amps? or just ac amps?,Just AC (we are pretty sure).,
open-ended,B000TMM782,"Jun 19, 2013",1371625200.0,csn you k type wet bulb probe with fieldpiece sc53 meter,Na. Dry bulb only.,
yes/no,B000TMM782,"Jun 19, 2013",1371625200.0,can you use this meter too check wet bulb temp.,Yes you should be able to with a wet piece of paper towel,Y
open-ended,B000TMM782,"May 9, 2013",1368082800.0,"Dose the Fieldpiece discharge the ""capacitor"" in the central air condition unit ?","The wires need to be unhooked from the capacitor first, then it will give an accurate reading.",
open-ended,B000TMM782,"Oct 19, 2013",1382166000.0,what are the actual dimensions? one line says 13 inches long and another says its under 8 inches long??,"I don't have in front of me know but it surely not 13'', I would say it 8. It's a very nice meter.",
open-ended,B000U7QDKO,"Sep 30, 2013",1380524400.0,What is the country of manufacture? I am leaning toward Rubbermaid but if it is made in China then I will purchase the Sterilite item instead!,"stamped on bottom: ""MADE IN USA""!!!!",
yes/no,B000U7QDKO,"Apr 10, 2014",1397113200.0,Does a regular kitchen bag fit?,"Yes, it fits perfectly",Y
open-ended,B000U7QDKO,"May 1, 2014",1398927600.0,What's the depth?,It's depth is 20 inches.,
open-ended,B000U7QDKO,"Feb 19, 2014",1392796800.0,I need the bottom dimensions because my pull out frame is small at the bottom. Any help?,"The containers I bought were tapered from the top (10 3/4"" x 15 1/2"") to the bottom (8"" x 11 3/4"").",
open-ended,B000U7QDKO,"Dec 25, 2014",1419494400.0,What is the total height of this item and the size at the top?,"20"" tall. 15"" by 11"" opening at top (measured from outer lip to outer lip).",
open-ended,B000U7QDKO,"Jan 30, 2015",1422604800.0,what are the dimensions? I need 15 1/4 x 9 1/2 x 19 1/2 (or 20 - 20 1/2 will work),"15 1/4 by 11 at the rim. 19 7/8"" tall",
yes/no,B000U7QDKO,"Jan 3, 2015",1420272000.0,Does rubbermaid have a lid that is compatible with this can,No,N
yes/no,B000U7QDKO,"Jan 2, 2015",1420185600.0,"Does anyone have the Bottom of the trash can measurements, I know the upper is mentioned. But need the footprint, (bottom) of can measurement,",11.5 X 8 inches would be close,?
open-ended,B000U7QDKO,"Jul 14, 2014",1405321200.0,What are the dimensions of the unit as I have to put it in a sliding drawer under my counter,"Exactly 20"" high. The top of the can measures 15.25"" x 11.0"" inches. Perfect fit for our sliding drawer under the counter. The standard tall kitchen trash liners fit perfect as well, especially the Kirkland brand liners from Costco.",
yes/no,B000U7QDKO,"Jun 22, 2014",1403420400.0,One review said it is blue. Is it really gray?,Mine are definitely gray.,?
open-ended,B000UGRD6S,"May 1, 2014",1398927600.0,What is the product guarantee?,"1 Year - from the website: Rubbermaid warrants to the original owner that this product is free from defects in material and workmanship for a period of one year from the date of the original purchase. If this product is defective when used as intended under normal household conditions within the specified period, Rubbermaid will replace the product, send a replacement part or issue a refund (at our option) when the consumer provides a proof of purchase (either a bill of sale, receipted invoice, or other proof that the product is within the warranty period), along with a full description of the defect, to USA Rubbermaid Consumer Service 3200 Gilchrist Road Mogadore, OH 44260 Toll-Free: (888) 895-2110, Monday - Friday, 8:30am - 5:00 pm Eastern.",
open-ended,B000UGRD6S,"Mar 11, 2015",1426057200.0,What are the dimensions of the opening?,I actually don't know. It was about the normal size of a kitchen garbage bag. But the container was so cheaply made I got rid of it before too long.,
open-ended,B000UGRD6S,"Apr 19, 2014",1397890800.0,.How tall is it?,"Just a little over 23"" from top of lid to bottom",
open-ended,B000UGRD6S,"Oct 2, 2013",1380697200.0,I have a few questions about the dimensions of this item with the lid attached: 1. What is the height? 2. What are the maximum width and depth? (I expect this is at the lid) 3. What are the width and depth at the base? 4. What are the width and depth...,I bought this for my daughter and it broke with in a month. sorry.,
open-ended,B000UKNBI8,"Aug 20, 2013",1376982000.0,size?,My boyfriend is 250 and had no problem with size. Plus there are huge guys in my class and they had no troubles. Hope this helps.,
yes/no,B000UKNBI8,"Jan 25, 2015",1422172800.0,Did you guys ship to Puerto Rico as well?,"Yes, we do ship to Puerto Rico via USPS Priority Mail. Thanks for asking.",?
yes/no,B000UKNBI8,"May 29, 2014",1401346800.0,Can you easily detach the pressure gauge? I want to hook the pressure gauge up to a different type of tubing. Thanks!,Very dissappointed I recieved both cuffs and both are off calibration and can not be used :(,N
yes/no,B000UKNBI8,"Sep 30, 2013",1380524400.0,Is this blood pressure cuff made 100% latex free?,To be honest I'm not positive. Sorry,N
open-ended,B000UKNBI8,"Feb 20, 2015",1424419200.0,includes stethoscope and make shipments to Venezuela?,No it is only Blood Pressure and we do not ship there.,
yes/no,B000ULLGRU,"Sep 22, 2014",1411369200.0,can it be used on bike chain and gears?,"Absolutely, that's why I got it and it works great. I use it about 50/50 water with a Park chain cleaner and stiff brush.",Y
yes/no,B000ULLGRU,"Jan 21, 2015",1421827200.0,"When using it as a general bike wash, is it going to wreck any bearings it gets on?",Remember that Simple Green will act as a degreaser. As such it can remove lubricants from bearing surfaces. Presumably you are going to dilute the SG with water so it may not be as active at removing lubricants like grease should it get on any lubed components such as sprockets and chains. Also be sure to test the diluted solution on the bike's finish.,?
yes/no,B000ULLGRU,"Feb 27, 2015",1425024000.0,I'm looking for a product that will degrease floors in a restaurant kitchen. Do you have any recommendations? Thank you.,This stuff might work on your floor but it depends on how much square footage you plan to degrease and how aggressive a degreasing you need to do. Remember most degreasers will also remove floor wax and damage synthetic flooring if too concentrated a solution is used. The degreasing solution will have to be removed once the grease is dissolved. A single application of the degreaser may not be enough to do the job thoroughly.,?
yes/no,B000ULLGRU,12 days ago,,can it be used on to degrease lawn mower?,"Yes, this product it's a part washer fluid, but in this case you can dilute the solution...",Y
open-ended,B000ULLGRU,"Apr 16, 2015",1429167600.0,"Is this cleaner NSF certified? Category A-1, which means it can be used around food preparation?","Here is what Simple Green says on their site: Ideal for industrial/manufacturing, electronics and parts washing industries. 2013 Formula is NSF labeled A1, A2, A4, A8, B1 and C1 for use in food processing and handling facilities - and able to validate below 10 parts per million in rinsability requirements for cleaning in cosmetics, medical and pharmaceutical environments where Good Manufacturing Practices (GMP) are followed. No ozone-depleting substance warning labels required.",
